Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,DayName,IsWeekend,IsHoliday
2024-02-24,2024,Q1,2,February,8,6,Saturday,Yes,No
2024-02-25,2024,Q1,2,February,8,7,Sunday,Yes,No
2024-02-26,2024,Q1,2,February,9,1,Monday,No,No
2024-02-27,2024,Q1,2,February,9,2,Tuesday,No,No
2024-02-28,2024,Q1,2,February,9,3,Wednesday,No,No
2024-02-29,2024,Q1,2,February,9,4,Thursday,No,No
2024-03-01,2024,Q1,3,March,9,5,Friday,No,No
2024-03-02,2024,Q1,3,March,9,6,Saturday,Yes,No
2024-03-03,2024,Q1,3,March,9,7,Sunday,Yes,No
2024-03-04,2024,Q1,3,March,10,1,Monday,No,No
2024-03-05,2024,Q1,3,March,10,2,Tuesday,No,No
2024-03-06,2024,Q1,3,March,10,3,Wednesday,No,No
2024-03-07,2024,Q1,3,March,10,4,Thursday,No,No
2024-03-08,2024,Q1,3,March,10,5,Friday,No,Yes
2024-03-09,2024,Q1,3,March,10,6,Saturday,Yes,No
2024-03-10,2024,Q1,3,March,10,7,Sunday,Yes,No
2024-03-11,2024,Q1,3,March,11,1,Monday,No,No
2024-03-12,2024,Q1,3,March,11,2,Tuesday,No,No
2024-03-13,2024,Q1,3,March,11,3,Wednesday,No,No
2024-03-14,2024,Q1,3,March,11,4,Thursday,No,No
2024-03-15,2024,Q1,3,March,11,5,Friday,No,No
2024-03-16,2024,Q1,3,March,11,6,Saturday,Yes,No
2024-03-17,2024,Q1,3,March,11,7,Sunday,Yes,No
2024-03-18,2024,Q1,3,March,12,1,Monday,No,No
2024-03-19,2024,Q1,3,March,12,2,Tuesday,No,No
2024-03-20,2024,Q1,3,March,12,3,Wednesday,No,No
2024-03-21,2024,Q1,3,March,12,4,Thursday,No,No
2024-03-22,2024,Q1,3,March,12,5,Friday,No,No
2024-03-23,2024,Q1,3,March,12,6,Saturday,Yes,No
2024-03-24,2024,Q1,3,March,12,7,Sunday,Yes,No
2024-03-25,2024,Q1,3,March,13,1,Monday,No,No
2024-03-26,2024,Q1,3,March,13,2,Tuesday,No,No
2024-03-27,2024,Q1,3,March,13,3,Wednesday,No,No
2024-03-28,2024,Q1,3,March,13,4,Thursday,No,No
2024-03-29,2024,Q1,3,March,13,5,Friday,No,No
2024-03-30,2024,Q1,3,March,13,6,Saturday,Yes,No
2024-03-31,2024,Q1,3,March,13,7,Sunday,Yes,No
2024-04-01,2024,Q2,4,April,14,1,Monday,No,No
2024-04-02,2024,Q2,4,April,14,2,Tuesday,No,No
2024-04-03,2024,Q2,4,April,14,3,Wednesday,No,No
2024-04-04,2024,Q2,4,April,14,4,Thursday,No,No
2024-04-05,2024,Q2,4,April,14,5,Friday,No,No
2024-04-06,2024,Q2,4,April,14,6,Saturday,Yes,No
2024-04-07,2024,Q2,4,April,14,7,Sunday,Yes,No
2024-04-08,2024,Q2,4,April,15,1,Monday,No,No
2024-04-09,2024,Q2,4,April,15,2,Tuesday,No,No
2024-04-10,2024,Q2,4,April,15,3,Wednesday,No,No
2024-04-11,2024,Q2,4,April,15,4,Thursday,No,No
2024-04-12,2024,Q2,4,April,15,5,Friday,No,No
2024-04-13,2024,Q2,4,April,15,6,Saturday,Yes,No
2024-04-14,2024,Q2,4,April,15,7,Sunday,Yes,No
2024-04-15,2024,Q2,4,April,16,1,Monday,No,No
2024-04-16,2024,Q2,4,April,16,2,Tuesday,No,No
2024-04-17,2024,Q2,4,April,16,3,Wednesday,No,No
2024-04-18,2024,Q2,4,April,16,4,Thursday,No,No
2024-04-19,2024,Q2,4,April,16,5,Friday,No,Yes
2024-04-20,2024,Q2,4,April,16,6,Saturday,Yes,No
2024-04-21,2024,Q2,4,April,16,7,Sunday,Yes,No
2024-04-22,2024,Q2,4,April,17,1,Monday,No,No
2024-04-23,2024,Q2,4,April,17,2,Tuesday,No,No
2024-04-24,2024,Q2,4,April,17,3,Wednesday,No,No
2024-04-25,2024,Q2,4,April,17,4,Thursday,No,No
2024-04-26,2024,Q2,4,April,17,5,Friday,No,No
2024-04-27,2024,Q2,4,April,17,6,Saturday,Yes,No
2024-04-28,2024,Q2,4,April,17,7,Sunday,Yes,No
2024-04-29,2024,Q2,4,April,18,1,Monday,No,No
