SalesID,OrderID,ProductID,CustomerID,RegionID,Quantity,SalesAmount,SalesDate
131,1339,1,32,12,11,25413,2024-04-04
132,1398,8,37,20,5,18626,2022-07-03
133,1478,2,85,15,19,22661,2023-10-16
134,1173,3,26,23,17,36946,2024-03-11
135,1156,6,68,14,3,24681,2024-10-13
136,1322,4,28,33,17,40190,2023-11-03
137,1040,8,59,42,3,8990,2022-05-05
138,1111,2,81,31,10,19623,2022-12-03
139,1336,4,67,32,17,11539,2024-06-11
140,1029,2,51,5,7,46872,2022-12-29
141,1440,4,74,46,5,27606,2024-10-10
142,1200,2,77,44,18,45877,2024-06-04
143,1229,1,80,38,2,26367,2023-05-24
144,1488,1,100,22,14,45578,2022-06-05
145,1210,2,37,38,11,12603,2024-02-17
146,1336,7,85,37,19,943,2023-11-10
147,1287,8,90,10,17,24805,2022-10-30
148,1155,3,88,17,10,22142,2024-02-12
149,1003,5,78,38,7,28062,2024-07-19
150,1147,4,60,14,4,20649,2024-03-25
151,1075,7,74,47,9,36504,2023-10-11
152,1063,6,4,39,7,42128,2023-09-30
153,1496,6,84,7,7,12129,2022-07-05
154,1075,6,76,5,4,48161,2023-07-16
155,1455,1,99,33,6,7669,2023-10-13
156,1071,8,87,16,8,44137,2023-01-06
157,1121,8,24,28,8,45812,2022-10-18
158,1156,3,48,38,14,35242,2024-07-23
159,1359,6,91,14,15,4401,2023-07-24
160,1063,5,20,25,16,3622,2022-11-18
161,1019,7,20,30,18,848,2022-04-18
162,1135,8,42,28,15,37379,2023-05-31
163,1324,8,80,22,9,12695,2023-04-15
164,1139,6,71,42,7,34389,2023-05-29
165,1309,8,78,2,12,42211,2022-03-03
166,1099,8,20,15,18,44771,2023-04-01
167,1274,4,13,19,17,10168,2024-01-03
168,1307,6,84,48,4,22867,2023-08-12
169,1434,2,52,30,16,18729,2023-11-27
170,1139,4,40,22,12,13334,2022-07-28
171,1058,7,15,34,2,7420,2022-06-17
172,1384,1,97,46,8,17631,2024-10-16
173,1134,1,94,9,4,7660,2023-04-18
174,1203,7,98,2,16,10816,2024-09-06
175,1422,8,64,27,17,7917,2022-12-30
176,1500,1,35,28,9,46095,2022-06-23
177,1334,8,65,6,10,27530,2024-03-09
178,1055,5,61,44,14,35398,2022-05-07
179,1437,4,23,21,14,4709,2023-11-14
180,1115,8,33,39,7,37284,2022-01-25
181,1366,8,29,10,12,9191,2022-07-29
182,1436,6,49,8,17,33550,2022-04-15
183,1300,1,44,6,12,47804,2024-04-16
184,1398,5,50,8,1,43081,2023-04-06
185,1313,4,31,21,12,45605,2023-11-23
186,1195,1,74,43,19,11963,2023-08-12
187,1055,2,80,15,10,38344,2024-04-09
188,1219,4,73,48,19,30218,2024-10-23
189,1105,3,89,36,10,8530,2022-09-23
190,1316,1,97,10,6,19398,2024-03-15
191,1194,5,98,19,7,39900,2022-12-16
192,1179,2,93,35,2,18274,2022-10-03
193,1069,4,44,15,8,18380,2024-12-21
194,1029,5,91,43,6,30968,2022-03-21
195,1308,2,21,7,9,31863,2022-03-23
196,1193,3,77,35,13,26673,2022-01-28
197,1162,5,8,10,15,29339,2022-07-23
198,1142,6,99,39,13,37315,2023-05-28
199,1176,5,75,17,3,21301,2022-10-05
200,1373,5,43,46,3,37088,2022-10-27
201,1052,4,3,36,9,7288,2022-01-09
202,1320,1,12,38,15,47159,2022-08-10
203,1111,2,86,50,8,6730,2024-02-28
204,1209,1,72,31,4,39950,2023-09-21
205,1092,2,79,7,11,27420,2024-02-06
206,1367,4,57,35,18,4383,2023-07-18
207,1350,1,69,2,4,2529,2024-05-22
208,1154,1,80,12,7,10315,2022-09-28
209,1321,1,66,24,7,9466,2024-02-02
210,1101,8,50,1,6,26607,2023-08-31
211,1051,1,46,22,12,32362,2023-09-10
212,1233,8,59,26,17,2878,2023-02-24
213,1138,4,1,4,15,7917,2023-02-24
214,1415,8,64,8,16,24524,2022-07-08
215,1038,8,1,24,7,32933,2023-12-15
216,1378,4,54,34,19,42545,2023-03-02
217,1210,5,16,40,19,2528,2022-04-08
218,1164,2,50,38,3,21581,2022-02-06
219,1443,3,6,8,11,44201,2023-12-22
220,1013,6,72,44,16,18181,2023-10-18
221,1297,4,73,16,4,43901,2022-07-19
222,1194,3,6,7,15,10248,2024-09-21
223,1091,1,87,48,4,33786,2023-07-20
224,1453,5,48,33,8,12128,2024-03-31
225,1279,1,22,44,15,22173,2022-08-14
226,1007,7,41,40,9,2092,2022-01-20
227,1229,3,86,37,5,43549,2023-02-01
228,1323,8,13,43,5,47309,2022-04-14
229,1254,4,19,17,10,45586,2024-01-24
230,1495,7,5,39,5,25627,2023-07-11
231,1138,2,29,18,19,10298,2023-02-09
232,1108,2,39,1,15,24755,2022-08-12
233,1097,2,13,5,19,5675,2024-04-13
234,1410,5,24,28,7,14049,2022-05-03
235,1238,7,17,20,7,11660,2024-07-13
236,1315,8,13,9,18,40393,2024-08-31
237,1332,4,80,44,19,19699,2023-10-07
238,1446,6,67,22,14,18787,2023-08-20
239,1191,6,45,35,5,41212,2024-11-24
240,1019,4,76,21,10,44961,2022-05-06
241,1007,3,82,49,8,5434,2024-06-15
242,1088,4,83,40,12,12757,2022-10-06
243,1330,2,56,22,12,39520,2023-11-04
244,1279,8,46,23,11,44300,2022-05-29
245,1060,7,48,50,6,29471,2024-03-27
246,1018,8,47,13,6,45689,2022-07-11
247,1337,5,62,18,12,18279,2023-07-23
248,1268,5,50,32,1,18865,2023-04-14
249,1216,6,89,14,14,5825,2022-12-22
250,1327,4,38,16,1,22235,2023-02-18
251,1065,8,90,41,4,33009,2022-07-07
252,1052,4,66,8,8,39242,2024-07-16
253,1196,5,76,33,15,40770,2022-03-10
254,1396,2,92,10,3,45893,2023-04-06
255,1125,5,58,32,19,37830,2023-04-22
256,1077,1,33,47,12,2616,2023-11-09
257,1323,5,99,19,14,36708,2022-02-09
258,1233,5,39,48,14,15057,2023-06-11
259,1191,3,9,49,13,20077,2022-02-07
260,1059,8,60,39,5,45182,2023-12-01
261,1359,6,67,34,9,8635,2023-05-14
262,1275,2,35,49,9,27431,2023-07-21
263,1349,8,41,46,4,29423,2023-09-26
264,1074,8,69,35,18,9055,2024-10-28
265,1462,7,51,4,13,14662,2022-04-01
266,1097,2,4,35,7,12297,2024-04-10
267,1072,4,51,7,16,25773,2022-02-28
268,1022,8,83,7,5,47737,2022-07-08
269,1002,4,70,2,15,31549,2023-09-29
270,1199,8,20,18,16,6249,2022-05-08
271,1339,3,91,40,8,33362,2022-10-17
272,1470,6,47,26,14,19096,2024-11-03
273,1066,5,45,46,10,24615,2023-08-30
274,1467,2,79,11,6,29330,2023-02-26
275,1207,5,30,13,7,2938,2023-02-06
276,1389,2,78,23,3,47733,2023-05-25
277,1127,5,76,50,11,10793,2024-06-17
278,1354,1,24,27,4,3047,2024-03-15
279,1136,6,24,28,6,47143,2022-01-01
280,1142,2,85,29,5,32929,2024-01-29
281,1019,8,77,8,8,1493,2024-09-14
282,1259,1,5,27,13,44880,2022-03-13
283,1230,4,69,8,19,39405,2023-04-06
284,1186,5,17,31,17,6879,2022-02-02
285,1016,8,28,39,7,13501,2023-04-05
286,1422,1,64,36,13,26074,2024-01-31
287,1133,3,68,27,2,16042,2023-08-20
288,1284,3,70,16,11,12248,2024-06-08
289,1016,7,63,38,7,3888,2024-05-17
290,1153,3,29,48,18,35098,2022-10-30
291,1314,6,44,37,15,43569,2022-09-28
292,1182,7,81,16,9,15912,2023-06-17
293,1036,7,12,6,4,19841,2023-04-15
294,1259,6,7,19,17,3755,2022-04-28
295,1397,4,73,7,3,19198,2024-03-29
296,1074,5,66,43,2,15123,2024-09-20
297,1166,3,41,16,8,43355,2024-11-24
298,1229,6,71,2,2,8085,2022-08-05
299,1027,5,83,39,2,31111,2024-02-23
300,1266,7,75,2,11,9116,2022-06-02
301,1099,2,45,26,15,35607,2022-04-20
302,1158,4,85,28,7,14307,2023-11-15
303,1372,4,8,23,17,46213,2022-06-18
304,1059,5,64,47,8,7923,2023-02-09
305,1394,3,38,5,2,20558,2022-07-17
306,1453,2,28,39,12,49317,2023-12-25
307,1069,7,80,17,13,38984,2023-01-24
308,1258,7,9,38,8,41942,2022-02-25
309,1174,7,12,24,18,26395,2024-02-23
310,1214,7,33,25,12,30071,2024-02-23
311,1440,3,62,32,6,14793,2023-03-29
312,1075,7,83,27,16,18859,2023-06-27
313,1295,4,11,14,19,14498,2022-12-08
314,1478,2,21,6,13,8036,2022-06-19
315,1369,3,84,9,18,4775,2023-12-22
316,1131,6,92,2,4,31025,2024-02-02
317,1407,3,80,3,3,4940,2023-08-16
318,1132,6,9,17,9,11103,2023-06-27
319,1079,7,22,37,16,21035,2024-08-28
320,1477,3,16,46,17,31721,2023-01-02
321,1196,6,9,25,2,48930,2024-06-03
322,1112,4,12,3,3,17668,2022-03-22
323,1325,8,4,17,13,42715,2024-09-17
324,1338,2,21,2,17,9729,2023-02-04
325,1286,6,51,23,5,8599,2023-03-05
326,1226,7,87,24,7,44432,2022-10-14
327,1307,8,22,43,7,10874,2022-07-05
328,1041,5,1,9,4,2751,2022-04-16
329,1061,3,49,1,4,15524,2023-12-14
330,1122,7,82,46,2,44009,2023-09-02
331,1423,8,35,45,18,4910,2023-06-09
332,1296,4,85,10,1,20508,2023-05-07
333,1180,8,54,40,14,47532,2024-11-10
334,1487,8,71,22,11,39434,2024-02-08
335,1427,3,48,39,13,14760,2022-08-27
336,1163,6,70,1,5,4956,2023-01-24
337,1222,5,51,12,19,25186,2023-03-04
338,1303,7,9,36,17,16496,2024-02-20
339,1217,6,79,37,18,44493,2024-08-10
340,1120,6,42,6,14,47350,2023-02-13
341,1340,7,23,15,14,35335,2022-04-02
342,1146,6,30,11,17,44238,2022-08-13
343,1284,8,16,24,12,41345,2022-02-15
344,1033,3,59,29,17,12748,2022-04-01
345,1429,3,4,1,19,16069,2022-01-28
346,1340,4,37,4,4,43070,2022-07-31
347,1087,4,45,32,18,33257,2022-11-22
348,1051,5,17,39,3,12797,2024-10-20
349,1354,7,6,10,6,25780,2024-05-19
350,1204,4,94,41,16,4947,2024-04-11
351,1338,3,8,3,17,21038,2023-09-07
352,1360,5,67,35,13,49698,2022-07-02
353,1016,8,53,42,12,14145,2024-01-22
354,1402,8,14,16,9,46951,2022-01-01
355,1189,8,11,27,15,2042,2022-11-09
356,1333,4,45,24,18,8848,2024-07-25
357,1250,3,80,34,17,44345,2023-09-10
358,1016,3,54,16,14,6865,2023-01-28
359,1434,7,2,19,7,17915,2023-04-22
360,1146,2,96,15,9,45030,2022-05-23
361,1126,7,36,2,8,27888,2023-04-29
362,1103,6,13,19,2,20196,2022-05-09
363,1379,5,23,43,2,1723,2022-04-13
364,1436,6,19,20,15,42308,2024-09-13
365,1304,2,52,10,3,11141,2022-05-07
366,1460,5,39,15,6,20695,2023-05-07
367,1335,5,36,39,18,5973,2023-03-29
368,1265,3,2,3,14,8157,2022-09-18
369,1217,3,63,30,12,1017,2022-01-20
370,1161,1,56,6,6,35412,2023-01-04
371,1078,2,99,1,12,19919,2023-06-13
372,1475,3,1,37,14,46571,2023-07-12
373,1001,6,20,4,4,15983,2022-12-12
374,1043,7,30,38,5,16201,2023-02-27
375,1398,7,75,48,4,9141,2022-12-26
376,1193,4,47,5,16,36869,2024-08-25
377,1119,5,32,40,16,8778,2024-10-15
378,1286,8,80,48,17,6852,2022-01-16
379,1447,8,12,19,13,10894,2022-02-15
380,1263,1,97,2,13,24674,2022-10-24
381,1152,2,34,2,17,35679,2023-06-02
382,1276,7,55,24,4,28350,2024-04-01
383,1381,6,64,50,14,14859,2022-09-05
384,1157,4,60,12,14,47026,2024-12-25
385,1244,6,55,41,5,12287,2022-12-30
386,1129,3,8,5,7,16605,2023-06-21
387,1492,2,1,48,6,8692,2023-02-18
388,1157,7,65,23,1,26351,2022-10-22
389,1446,1,53,5,19,43126,2023-11-06
390,1118,1,26,20,3,23039,2022-08-16
391,1446,6,33,23,8,45399,2022-11-24
392,1172,3,62,10,3,39392,2022-04-14
393,1102,2,87,34,9,32155,2023-07-16
394,1143,3,65,50,2,47635,2024-02-13
395,1358,6,56,29,8,28559,2023-04-30
396,1168,4,87,24,7,48864,2023-04-28
397,1384,8,26,40,13,11845,2024-11-21
398,1135,3,19,43,2,29253,2024-09-25
399,1014,8,72,4,16,13857,2023-08-06
400,1248,5,48,16,12,30606,2022-06-30
401,1203,7,39,27,18,15839,2024-12-21
402,1305,2,60,8,16,34760,2022-04-06
403,1340,1,67,45,7,33844,2022-09-27
404,1494,8,35,24,8,40546,2024-07-15
405,1200,4,80,50,10,22760,2024-03-18
406,1189,5,66,44,19,20400,2022-08-01
407,1374,2,23,49,4,30907,2023-08-24
408,1258,7,15,49,11,24354,2022-12-16
409,1491,5,77,1,8,25147,2024-02-19
410,1220,8,26,48,14,22792,2023-10-25
411,1413,3,12,23,13,799,2024-01-04
412,1231,3,51,31,4,42671,2022-09-01
413,1249,6,19,10,11,26643,2023-07-04
414,1389,4,19,29,10,41390,2023-06-05
415,1240,2,27,4,4,37758,2023-07-28
416,1442,5,47,22,13,30115,2024-03-21
417,1064,5,29,10,16,41815,2022-06-29
418,1468,6,36,24,5,1400,2024-05-30
419,1220,4,8,22,19,45618,2022-12-24
420,1031,7,53,26,16,36905,2023-02-23
421,1245,7,73,42,15,39434,2024-12-18
422,1473,4,6,34,16,32523,2024-11-25
423,1018,4,44,15,13,18118,2024-12-19
424,1210,2,16,43,4,1262,2023-08-16
425,1367,2,88,46,5,29241,2024-10-10
426,1096,3,55,21,15,35451,2023-03-08
427,1186,5,45,1,16,1489,2022-01-31
428,1027,1,77,50,17,30016,2023-11-29
429,1114,6,16,50,17,40497,2024-10-22
430,1489,6,4,18,12,40574,2024-10-12
431,1186,3,76,14,10,11417,2022-07-27
432,1376,3,75,21,4,19030,2024-05-31
433,1333,5,99,5,8,12617,2024-05-17
434,1157,8,48,41,13,35911,2023-07-07
435,1491,5,38,44,15,4108,2023-04-04
436,1066,6,13,37,17,33850,2023-04-29
437,1418,8,45,8,4,44293,2022-06-18
438,1345,7,53,46,6,47874,2024-03-04
439,1089,3,48,39,7,12803,2022-06-25
440,1172,4,27,4,10,21665,2022-09-15
441,1146,1,52,14,11,3770,2023-02-27
442,1418,1,66,32,10,31403,2023-06-22
443,1261,1,12,35,1,15088,2023-08-15
444,1111,4,39,11,3,24793,2022-04-27
445,1093,5,26,11,4,14962,2023-02-11
446,1016,6,86,14,5,42704,2024-05-01
447,1475,7,10,46,11,40229,2023-03-17
448,1227,4,12,19,10,25673,2024-03-19
449,1155,6,49,5,7,46489,2024-10-22
450,1130,1,21,33,7,37507,2024-05-20
451,1152,3,45,9,19,45884,2024-11-28
452,1135,7,84,38,11,21485,2022-08-27
453,1089,2,29,25,19,7949,2022-02-12
454,1423,3,23,34,5,16488,2023-05-16
455,1392,7,35,42,12,9683,2024-11-09
456,1320,5,72,33,6,45660,2023-05-31
457,1427,5,13,27,19,43825,2024-07-06
458,1355,3,100,49,10,31373,2023-03-05
459,1140,6,40,19,2,25936,2024-09-21
460,1362,3,91,25,16,7600,2023-12-02
461,1059,6,93,5,3,37972,2024-10-13
462,1343,1,70,47,5,35932,2022-02-27
463,1141,2,45,27,16,12952,2024-01-26
464,1371,8,23,30,15,48683,2022-02-20
465,1419,6,30,16,11,48604,2022-07-15
466,1367,5,37,6,12,5115,2023-05-14
467,1397,8,64,26,3,14505,2023-10-07
468,1245,8,29,2,17,30539,2024-01-20
469,1136,2,29,43,15,8329,2023-09-18
470,1169,3,68,15,5,43277,2024-10-20
471,1172,6,51,39,9,17249,2022-09-20
472,1055,8,100,27,12,24892,2023-01-23
473,1016,5,88,12,2,31752,2023-07-02
474,1221,4,87,48,5,45805,2024-06-16
475,1349,3,16,9,16,30220,2022-05-02
476,1458,1,83,23,1,4827,2024-12-23
477,1386,5,40,5,8,26574,2022-04-10
478,1214,5,29,49,6,12738,2022-06-03
479,1348,4,80,14,1,22502,2024-06-25
480,1358,7,17,9,1,32384,2022-12-05
481,1081,2,94,46,15,20258,2024-06-20
482,1353,4,73,36,16,6821,2022-01-14
483,1257,8,78,18,1,45950,2024-03-02
484,1220,3,10,37,9,10146,2023-06-27
485,1076,7,37,38,19,20597,2023-12-05
486,1039,8,64,34,6,36393,2022-05-24
487,1071,5,36,27,17,23783,2024-10-20
488,1054,1,45,46,4,44339,2022-07-05
489,1036,2,97,36,3,3100,2024-11-20
490,1225,3,80,23,10,18871,2022-07-16
491,1115,7,39,15,18,43842,2024-04-26
492,1002,4,12,4,5,36770,2024-07-06
493,1454,6,67,25,14,49342,2024-12-01
494,1306,8,81,4,13,18828,2024-01-17
495,1443,5,18,19,6,5670,2023-05-22
496,1206,4,96,28,4,40108,2023-02-08
497,1026,7,96,14,17,33530,2022-01-09
498,1370,1,53,22,3,39785,2023-12-29
499,1259,3,99,28,19,17253,2024-11-11
500,1305,8,63,33,8,37990,2022-02-18
501,1101,2,36,36,3,21382,2023-06-12
502,1481,3,11,18,10,39090,2023-05-23
503,1136,8,92,15,11,14657,2024-05-01
504,1076,6,36,8,2,29235,2023-09-25
505,1144,1,85,20,13,16367,2024-05-16
506,1448,2,6,19,1,48257,2023-08-23
507,1452,6,20,23,18,2059,2022-09-30
508,1062,2,70,19,15,33803,2023-10-27
509,1342,3,91,37,14,10715,2023-03-25
510,1046,2,78,40,8,27682,2022-09-14
511,1239,4,79,24,16,20005,2023-06-03
512,1333,5,81,22,6,1219,2022-05-12
513,1497,7,62,28,7,34501,2023-01-04
514,1334,3,99,39,8,7941,2024-06-19
515,1246,4,93,43,7,23836,2024-08-09
516,1440,4,90,50,6,12403,2024-10-03
517,1124,6,53,15,18,4356,2024-10-17
518,1185,4,17,38,12,46138,2022-01-08
519,1379,3,90,8,8,49930,2024-04-08
520,1347,1,94,30,13,10354,2023-02-18
521,1126,1,1,50,19,41389,2023-04-07
522,1026,4,85,28,2,17590,2024-11-22
523,1279,2,89,27,13,21469,2022-04-02
524,1214,2,89,32,14,11498,2024-06-24
525,1045,2,30,42,5,14799,2023-08-24
526,1073,3,59,31,11,42147,2023-08-15
527,1248,8,23,35,10,41765,2022-01-10
528,1422,6,27,7,9,41161,2024-04-29
529,1006,7,84,43,4,44160,2022-10-10
530,1207,2,68,14,10,5958,2022-01-21
531,1294,6,43,44,11,11270,2024-05-03
532,1314,1,25,42,8,30257,2024-05-31
533,1154,5,63,20,13,25503,2024-03-31
534,1379,7,56,12,3,26306,2022-11-20
535,1125,2,52,45,8,36642,2023-08-20
536,1090,3,73,40,13,41371,2022-11-15
537,1325,6,52,31,2,37117,2024-02-13
538,1402,5,94,46,1,8507,2024-11-07
539,1274,6,12,22,14,30231,2023-08-29
540,1156,8,89,45,2,31156,2024-11-29
541,1192,3,10,41,3,1384,2022-10-26
542,1032,5,39,7,5,45622,2023-07-06
543,1168,2,5,21,15,26117,2024-07-16
544,1483,4,94,8,7,8628,2024-08-04
545,1214,1,76,3,3,1251,2022-01-29
546,1043,8,89,44,8,36704,2022-03-03
547,1163,2,74,46,10,41593,2023-07-02
548,1258,3,77,1,6,26189,2024-04-20
549,1161,7,73,14,2,5253,2023-06-29
550,1314,1,9,18,8,1898,2024-01-23
551,1283,7,11,28,13,29454,2023-08-31
552,1415,1,20,9,17,49740,2024-12-09
553,1303,6,43,19,4,43816,2022-03-21
554,1482,4,13,13,8,20039,2024-11-11
555,1046,7,50,21,16,36950,2024-05-27
556,1098,8,56,22,1,45102,2022-07-05
557,1434,6,72,6,9,4525,2024-09-16
558,1084,5,69,47,9,9787,2022-05-24
559,1442,1,85,29,12,24464,2022-02-15
560,1377,1,57,8,12,29119,2023-12-04
561,1157,1,98,45,5,9451,2023-08-27
562,1263,8,25,3,13,38229,2022-04-26
563,1436,8,83,13,1,26677,2022-01-14
564,1039,5,2,21,1,21769,2024-09-18
565,1458,7,79,48,18,27111,2024-03-08
566,1435,6,46,30,7,45344,2023-02-07
567,1074,7,92,35,5,42525,2024-05-09
568,1402,6,48,39,10,15849,2023-11-11
569,1118,8,85,23,14,37140,2023-08-06
570,1336,8,95,7,2,26944,2023-08-12
571,1354,4,68,13,11,43217,2022-05-08
572,1269,7,39,13,14,23598,2024-11-03
573,1141,4,34,14,9,35228,2023-10-04
574,1389,4,94,23,5,42132,2023-05-28
575,1279,8,26,12,15,5637,2024-08-10
576,1070,2,4,6,17,23213,2022-04-04
577,1354,7,100,36,6,2921,2023-05-08
578,1386,6,1,12,12,27108,2022-11-18
579,1332,7,59,42,11,20579,2024-09-04
580,1086,6,30,38,9,48434,2024-03-19
581,1293,4,32,37,10,37367,2023-05-26
582,1077,7,48,50,16,16405,2022-09-29
583,1092,6,72,9,11,14739,2023-08-18
584,1496,7,28,17,6,49293,2024-08-19
585,1292,3,37,5,18,1107,2022-09-18
586,1491,1,38,35,15,9108,2023-12-06
587,1400,5,91,32,8,2348,2023-09-16
588,1306,8,32,18,5,46634,2022-03-24
589,1273,7,70,6,15,36292,2022-04-18
590,1307,7,22,27,7,40627,2023-08-12
591,1243,8,70,17,9,4360,2022-11-22
592,1460,2,5,29,16,34655,2022-01-18
593,1296,8,57,5,6,20025,2022-07-09
594,1229,2,95,44,16,37977,2022-08-24
595,1069,6,64,41,10,43276,2022-10-13
596,1147,8,19,45,9,978,2024-02-17
597,1154,1,10,33,4,4329,2024-05-27
598,1075,2,34,46,3,45962,2024-01-06
599,1272,7,67,50,13,26471,2024-11-21
600,1144,4,72,13,13,2779,2022-08-09
601,1329,4,48,4,3,33868,2024-07-12
602,1364,7,77,34,7,45331,2024-08-11
603,1154,6,43,6,14,32531,2023-09-15
604,1132,7,98,12,8,7093,2024-07-02
605,1102,4,59,24,11,49412,2024-03-23
