OrderID,ProductID,CustomerID,Date,Quantity,Revenue
215,10,13,2024-01-22,4,2016.73
216,3,23,2024-11-21,6,1437.5
217,7,25,2024-01-01,5,2435.72
218,16,35,2024-05-12,8,317.45
219,16,41,2024-08-20,1,4275.75
220,20,30,2024-01-12,1,273.57
221,17,17,2024-12-11,6,1712.35
222,2,49,2024-02-15,2,4664.79
223,1,20,2024-02-03,5,3702.54
224,16,48,2024-03-18,1,1478.82
225,12,25,2024-08-05,7,1337.98
226,5,22,2024-10-27,1,124.9
227,5,13,2024-03-13,4,3509.0
228,9,19,2024-10-08,9,339.04
229,9,49,2024-09-05,1,2709.75
230,3,36,2024-02-16,4,4814.4
231,19,12,2024-04-30,6,636.4
232,16,41,2024-08-01,6,4482.95
233,16,19,2024-08-26,8,4958.23
234,3,12,2024-02-25,1,401.43
235,20,9,2024-12-15,7,4426.24
236,1,7,2024-04-16,1,2628.79
237,20,28,2024-11-14,7,4541.92
238,11,14,2024-02-17,3,2899.46
239,17,31,2024-03-01,8,3344.35
240,8,19,2024-12-02,3,2764.52
241,4,47,2024-01-26,1,4336.02
242,6,16,2024-10-18,8,3696.16
243,8,5,2024-09-13,3,2654.18
244,20,35,2024-01-08,2,4353.99
245,3,12,2024-04-22,1,1301.9
246,16,25,2024-12-20,3,870.97
247,3,21,2024-09-09,2,885.96
248,18,36,2024-06-28,2,1736.64
249,14,23,2024-07-25,6,1269.58
250,18,16,2024-10-29,1,4657.44
251,2,39,2024-05-06,2,618.59
252,3,45,2024-02-25,6,3525.05
253,16,42,2024-08-01,3,1027.19
254,9,39,2024-01-14,4,4420.02
255,4,14,2024-01-28,1,4810.44
256,1,31,2024-03-18,8,2380.8
257,4,5,2024-08-03,7,4407.45
258,1,35,2024-12-30,7,125.21
259,14,23,2024-06-02,3,4117.74
260,16,29,2024-01-14,3,1220.26
261,20,43,2024-07-05,2,4552.64
262,8,11,2024-11-07,1,105.49
263,7,18,2024-01-07,7,2825.29
264,3,47,2024-01-03,7,3807.52
265,17,12,2024-04-20,2,1367.57
266,1,9,2024-08-25,7,1046.35
267,16,10,2024-12-28,8,512.08
268,12,44,2024-08-26,1,1699.52
269,19,17,2024-09-30,9,2843.24
270,14,38,2024-10-20,7,667.63
271,6,7,2024-08-14,3,1945.81
272,6,46,2024-01-15,8,144.45
273,13,13,2024-07-10,7,4111.53
274,19,40,2024-04-28,8,729.4
275,8,42,2024-01-28,6,1488.38
276,2,9,2024-07-20,9,190.3
277,1,50,2024-02-08,5,2217.98
278,15,27,2024-09-29,3,4216.6
279,1,2,2024-08-18,3,2021.54
280,5,5,2024-03-26,1,979.54
281,16,29,2024-05-05,8,3793.12
282,19,37,2024-10-26,2,3965.15
283,4,38,2024-01-25,3,951.39
284,3,19,2024-05-24,8,3877.19
285,17,8,2024-01-13,8,4741.76
286,17,48,2024-07-30,4,915.25
287,12,45,2024-01-25,4,3877.82
288,14,1,2024-03-08,5,3572.0
289,6,22,2024-03-07,6,2420.51
290,3,17,2024-08-20,5,383.81
291,9,7,2024-04-18,7,466.0
292,5,25,2024-05-25,2,4276.83
293,17,45,2024-04-20,7,4951.73
294,14,4,2024-08-15,7,3412.66
295,3,36,2024-04-20,1,2285.2
296,1,6,2024-02-03,7,3273.11
297,20,31,2024-04-20,5,3012.54
298,1,19,2024-09-20,3,1979.7
299,3,44,2024-08-23,3,421.57
300,18,39,2024-03-23,4,4125.41
